NAME,Average Assessment Proficiency
Alabama State Department of Education,10.280000000000001
Alabaster City,17.901666666666667
Albertville City,5.07
Alexander City,6.562
Andalusia City,9.215
Anniston City,0.857
Arab City,28.4325
Athens City,12.786666666666667
Attalla City,3.255
Auburn City,23.160999999999998
Autauga County,8.196818181818182
Baldwin County,12.308750000000002
Barbour County,2.5783333333333336
Bessemer City,1.40875
Bibb County,5.441666666666666
Birmingham City,4.690232558139535
Blount County,7.741785714285714
Boaz City,10.197999999999999
Breakthrough Charter School,0.0
Brewton City,8.6225
Bullock County,0.0
Butler County,3.2216666666666662
Calhoun County,7.223055555555555
Chambers County,4.199545454545454
Cherokee County,10.28375
Chickasaw City,3.6550000000000002
Chilton County,7.201923076923077
Choctaw County,6.223
Clarke County,4.810714285714285
Clay County,10.199
Cleburne County,11.28
Coffee County,4.999
Colbert County,4.439444444444444
Conecuh County,7.300625
Coosa County,6.201666666666667
Covington County,13.063333333333333
Crenshaw County,7.93875
Cullman City,18.696
Cullman County,6.5466
Dale County,6.9775
Daleville City,4.745
Dallas County,2.3963636363636365
DeKalb County,9.090384615384615
Decatur City,10.548235294117646
Demopolis City,0.9625
Dothan City,11.744615384615384
Elba City,0.0
Elmore County,10.933
Enterprise City,9.3835
Escambia County,6.612727272727272
Etowah County,10.29
Eufaula City,5.119
Fairfield City,0.6779999999999999
Fayette County,7.625
Florence City,10.879375
Fort Payne City,5.48125
Franklin County,7.0185
Gadsden City,9.065384615384616
Geneva City,3.9074999999999998
Geneva County,6.623
Greene County,11.5075
Gulf Shores City,15.1975
Guntersville City,14.805
Hale County,1.2915384615384615
Haleyville City,6.16625
Hartselle City,20.415
Henry County,6.026666666666666
Homewood City,9.86
Hoover City,27.8175
Houston County,6.236428571428571
Huntsville City,12.321724137931035
Jackson County,9.798823529411765
Jacksonville City,15.013333333333334
Jasper City,19.156
Jefferson County,6.598095238095238
LEAD Academy,5.965
Lamar County,12.248000000000001
Lanett City,0.0
Lauderdale County,10.036
Lawrence County,6.917692307692308
Lee County,9.49892857142857
Leeds City,6.57375
Legacy Prep,3.57
Limestone County,9.5025
Linden City,0.0
Lowndes County,1.21625
MAEF Public Charter Schools,4.35
Macon County,0.9821428571428571
Madison City,34.288333333333334
Madison County,14.741785714285713
Magic City Acceptance Academy,36.364999999999995
Marengo County,2.3762499999999998
Marion County,8.949166666666667
Marshall County,6.711818181818182
Midfield City,0.0
Mobile County,10.352590361445783
Monroe County,5.992500000000001
Montgomery County,4.929450549450549
Morgan County,7.012777777777778
Mountain Brook City,44.42857142857143
Muscle Shoals City,8.9325
Oneonta City,19.341250000000002
Opelika City,9.741666666666667
Opp City,6.445
Oxford City,12.459285714285715
Ozark City,5.18625
Pelham City,13.063999999999998
Pell City,12.810555555555556
Perry County,0.73
Phenix City,8.369499999999999
Pickens County,5.850714285714285
Piedmont City,11.0725
Pike County,5.855
Pike Road City,14.376
Randolph County,8.601875
Roanoke City,5.48875
Russell County,6.4678571428571425
Russellville City,7.0512500000000005
Saraland City,19.48625
Satsuma City,9.703333333333333
Scottsboro City,10.821000000000002
Selma City,4.3075
Sheffield City,1.5462500000000001
Shelby County,13.671851851851851
St Clair County,10.124444444444444
Sumter County,0.77
Sylacauga City,6.54875
Talladega City,5.751428571428571
Talladega County,5.685588235294118
Tallapoosa County,5.701666666666667
Tallassee City,4.14125
Tarrant City,2.276666666666667
Thomasville City,5.155
Troy City,3.02875
Trussville City,31.639166666666668
Tuscaloosa City,14.904499999999999
Tuscaloosa County,9.362941176470587
Tuscumbia City,6.32875
University Charter School,4.0
Vestavia Hills City,35.65833333333333
Walker County,7.265882352941176
Washington County,5.58
Wilcox County,1.172
Winfield City,8.4975
Winston County,12.155
i3 Academy,4.473333333333334
