STATENAME,Name,MSTREET1,MZIP,city,latitude,longitude
ALABAMA,Hoover City,2810 Metropolitan Way,35243,Hoover,32.3780817,-86.0844287
ALABAMA,Madison City,211 Celtic Dr,35758,Madison,37.176602,-87.03135
ALABAMA,Al Sch Of Math And Science,1255 Dauphin St,36604,Mobile,36.7383981,-85.2088473
ALABAMA,Leeds City,1517 Hurst Avenue,35094,Leeds,38.913723,-76.830001
ALABAMA,Boaz City,126 Newt Parker Dr,35957,Boaz,34.68717962364523,-86.74494875293716
ALABAMA,Alexander City,375 Lee Street,35010,Alexander City,42.3434996,-71.1426976
ALABAMA,Andalusia City,1201 C C Baker Avenue,36421,Andalusia,31.336132972567672,-85.85302025258909
ALABAMA,Arab City,750 Arabian Dr NE,35016,Arab,33.549984337897556,-86.53476038511724
ALABAMA,Athens City,455 US Highway 31 North,35611,Athens,34.212836,-86.159496
ALABAMA,Attalla City,101 Case Ave,35954,Attalla,42.316377700000004,-71.14181974647971
ALABAMA,Saraland City,4010 Lil Spartan Drive,36571,Saraland,31.324801,-86.481876
ALABAMA,Satsuma City,220 Baker Road,36572,Satsuma,-26.144852,28.0286475
ALABAMA,Pelham City,3160 Pelham Parkway,35124,Pelham,34.327791864441636,-86.48833279567823
ALABAMA,Pike Road City,9045 Vaughn Road,36117,Montgomery,34.80915765,-86.94984944854934
ALABAMA,MAEF Public Charter Schools,3725 AIRPORT BLVD,36608,MOBILE,34.957912470588234,-81.96513167647059
ALABAMA,Legacy Prep,1500 Daniel Payne Drive,35214,Birmingham,30.862009,-88.1232351
ALABAMA,LEAD Academy,2897 Eastern Blvd,36116,Montgomery,45.6662045,8.7952074
ALABAMA,i3 Academy,1 55th Place South,35212,Birmingham,44.28997639865095,-64.43193445161765
ALABAMA,LIFE Academy,2048 West Fairview Avenue,36108,Montgomery,38.910374,-86.8001063
ALABAMA,Magic City Acceptance Academy,75 Bagby Drive,35209,Homewood,33.28680201248322,-86.81030130719455
ALABAMA,Alabama School of Cyber Technology and Engineering,229 Wynn Drive,35805,Huntsville,36.348103,-94.303091
ALABAMA,Alabama Aerospace and Aviation,1414 2nd Avenue North,35020,Bessemer,30.675962,-88.1346819060243
ALABAMA,Brewton City,811 Belleville Ave,36426,Brewton,-26.144852,28.0286475
ALABAMA,Bullock County,108 Hardaway Avenue,36089,Union Springs,33.55327,-86.877286
ALABAMA,Calhoun County,4400 McClellan Blvd,36206,Anniston,-26.144852,28.0286475
ALABAMA,Chilton County,1705 Lay Dam Rd,35045,Clanton,40.643220390243904,-73.6016782195122
ALABAMA,Coffee County,400 Reddoch Hill Rd,36323,Elba,33.539414,-86.751087
ALABAMA,Covington County,807 C C Baker Ave,36421,Andalusia,32.353257,-86.32581810506628
ALABAMA,Cullman County,402 Arnold St NE,35055,Cullman,-26.144852,28.0286475
ALABAMA,Decatur City,212 4th Ave SE,35601,Decatur,33.47104028571429,-86.83113679591837
ALABAMA,Demopolis City,609 South Cedar Avenue,36732,Demopolis,32.226096272727276,-82.43975451515152
ALABAMA,Dothan City,1665 Honeysuckle Road,36301,DOTHAN,44.97913655,-93.29895669999999
ALABAMA,Elba City,131 Tiger Dr,36323,Elba,29.0136914,-82.5252038
ALABAMA,Elmore County,100 H H Robison Drive,36092,Wetumpka,-26.144852,28.0286475
ALABAMA,Enterprise City,220 Hutchinson St,36330,Enterprise,-26.144852,28.0286475
ALABAMA,Eufaula City,333 State Docks Rd,36027,Eufaula,40.0434073,-75.4619552
ALABAMA,Geneva City,511 Panther Dr,36340,Geneva,51.8978713,17.7498848821874
ALABAMA,Hale County,1115 Powers St,36744,Greensboro,41.6775906,-70.92080217880988
ALABAMA,Haleyville City,2011 20th St,35565,Haleyville,32.14460908163266,-85.71720499999999
ALABAMA,Hartselle City,305 College St NE,35640,Hartselle,18.5091796,73.73846837670753
ALABAMA,Henry County,300 N Trawick St,36310,Abbeville,33.698547,-85.823867
ALABAMA,Homewood City,450 Dale Avenue,35209,Homewood,32.870330927958186,-86.62202948852901
ALABAMA,Huntsville City,714 Bob Wallace Avenue,35801,Huntsville,51.4211867,-2.250245659178315
ALABAMA,Jacksonville City,320 Branscomb Drive SW,36265,Jacksonville,51.8978713,17.7498848821874
ALABAMA,Jefferson County,2100 18th Street S,35209,Birmingham,-34.493016,150.799868
ALABAMA,Lanett City,105 North Lanier Ave,36863,Lanett,31.410822,-86.057416
ALABAMA,Lee County,2410 Society Hill Rd,36804,Opelika,34.4444118,-81.8885645
ALABAMA,Macon County,303 Union Springs Road,36083,Tuskegee,50.9003321,-1.3931234
ALABAMA,Marion County,188 Winchester Dr,35570,Hamilton,38.4421092,-76.7413587
ALABAMA,Midfield City,417 Parkwood St,35228,Midfield,31.324801,-86.481876
ALABAMA,Montgomery County,307 S Decatur St,36104,Montgomery,33.76525715,-84.36929572433587
ALABAMA,Opelika City,300 Simmons Street,36801,Opelika,40.100616,-85.645716
ALABAMA,Piedmont City,502 Hood St W,36272,Piedmont,-26.144852,28.0286475
ALABAMA,Pike County,101 W Love St,36081,Troy,-26.144852,28.0286475
ALABAMA,Randolph County,182 Circle Drive,36278,Wedowee,44.295677844862084,-81.09029671707593
ALABAMA,Russellville City,1945 Waterloo Rd,35653,Russellville,34.09107618173933,-117.39640930087555
ALABAMA,Scottsboro City,305 S Scott Street,35768,Scottsboro,31.20518785,-85.43371476027565
ALABAMA,Selma City,2194 Broad Street,36701,Selma,31.827068730903687,-86.64822565569882
ALABAMA,Sumter County,PO Box 10,35470,Livingston,32.54947,-86.21789
ALABAMA,Sylacauga City,43 N Broadway Avenue,35150,Sylacauga,40.27413284629783,-74.5287550066812
ALABAMA,Tallapoosa County,679 East Columbus Street,36853,Dadeville,-26.144852,28.0286475
ALABAMA,Tarrant City,1318 Alabama St,35217,Tarrant,32.433857792947556,-84.98004507332747
ALABAMA,Thomasville City,750 Gates Drive,36784,Thomasville,42.3434996,-71.1426976
ALABAMA,Tuscumbia City,303 N Commons St E,35674,Tuscumbia,-18.0561404,-70.2564905
ALABAMA,Wilcox County,75 Camden Bypass,36726,Camden,-26.144852,28.0286475
